id,host_name,neighbourhood_group,latitude,longitude,room_type,price,number_of_reviews,reviews_per_month,availability_365,last_review
2539,John,Brooklyn,40.64749,-73.97237,Private room,149,9,0.21,365,2018-10-19
2595,Jennifer,Manhattan,40.75362,-73.98377,Entire home/apt,225,45,0.38,355,2019-05-21
3647,Elisabeth,Manhattan,40.80902,-73.9419,Private room,150,0,0.0,365,
3831,LisaRoxanne,Brooklyn,40.68514,-73.95976,Entire home/apt,89,270,4.64,194,2019-05-07
5022,Laura,Manhattan,40.79851,-73.94399,Entire home/apt,80,9,0.1,0,2018-11-19
5099,Chris,Manhattan,40.74767,-73.975,Entire home/apt,200,74,0.59,129,2019-06-22
5121,Garon,Brooklyn,40.68688,-73.95596,Private room,60,49,0.4,0,2017-05-10
5178,Shunichi,Manhattan,40.76489,-73.98493,Private room,79,430,3.47,220,2019-06-24
5203,MaryEllen,Manhattan,40.80178,-73.96723,Private room,79,118,0.99,0,2017-07-21
5238,Ben,Manhattan,40.71344,-73.99037,Entire home/apt,150,160,1.33,188,2019-09-06
5295,Lena,Manhattan,40.80316,-73.96545,Entire home/apt,135,53,0.43,6,2019-06-22
5441,Kate,Manhattan,40.76076,-73.98867,Private room,85,188,1.5,39,2019-06-23
5803,Laurie,Brooklyn,40.66829,-73.98779,Private room,89,167,1.34,314,2019-06-24
6021,Claudio,Manhattan,40.79826,-73.96113,Private room,85,113,0.91,333,2019-05-07
6090,Alina,Manhattan,40.7353,-74.00525,Entire home/apt,120,27,0.22,0,2018-10-31
6848,Allen & Irina,Brooklyn,40.70837,-73.95352,Entire home/apt,140,148,1.2,46,2019-06-29
7097,Jane,Brooklyn,40.69169,-73.97185,Entire home/apt,215,198,1.72,321,2019-06-28
7322,Doti,Manhattan,40.74192,-73.99501,Private room,140,260,2.12,12,2019-01-07
7726,Adam And Charity,Brooklyn,40.67592,-73.94694,Entire home/apt,99,53,4.44,21,2019-06-22
7750,Sing,Manhattan,40.79685,-73.94872,Entire home/apt,190,0,0.0,249,
7801,Chaya,Brooklyn,40.71842,-73.95718,Entire home/apt,299,9,0.07,0,2011-12-28
8024,Lisel,Brooklyn,40.68069,-73.97706,Private room,130,130,1.09,347,2019-01-07
8025,Lisel,Brooklyn,40.67989,-73.97798,Private room,80,39,0.37,364,2019-01-01
8110,Lisel,Brooklyn,40.68001,-73.97865,Private room,110,71,0.61,304,2019-02-07
8490,Nathalie,Brooklyn,40.68371,-73.94028,Entire home/apt,120,88,0.73,233,2019-06-19
8505,Gregory,Brooklyn,40.65599,-73.97519,Private room,60,19,1.37,85,2019-06-23
8700,Claude & Sophie,Manhattan,40.86754,-73.92639,Private room,80,0,0.0,0,
9357,Tommi,Manhattan,40.76715,-73.98533,Entire home/apt,150,58,0.49,75,2017-08-13
9518,Shon,Manhattan,40.86482,-73.92106,Private room,44,108,1.11,311,2019-06-15
9657,Dana,Manhattan,40.7292,-73.98542,Entire home/apt,180,29,0.24,67,2019-04-19
9668,Ssameer Or Trip,Manhattan,40.82245,-73.95104,Private room,50,242,2.04,355,2019-01-06
9704,Teri,Manhattan,40.81305,-73.95466,Private room,52,88,1.42,255,2019-06-14
9782,Andrea,Brooklyn,40.72219,-73.93762,Private room,55,197,1.65,284,2019-06-15
9783,Ssameer Or Trip,Manhattan,40.8213,-73.95318,Private room,50,273,2.37,359,2019-01-07
10452,Angela,Brooklyn,40.6831,-73.95473,Private room,70,74,0.66,269,2019-12-05
10962,Laurie,Brooklyn,40.66869,-73.9878,Private room,89,168,1.41,340,2019-06-21
11452,Vt,Brooklyn,40.68876,-73.94312,Private room,35,0,0.0,365,
11708,Tyrome,Brooklyn,40.70186,-73.92745,Entire home/apt,85,231,1.96,22,2019-06-22
11943,Harriet,Brooklyn,40.63702,-73.96327,Private room,150,0,0.0,365,
12048,Ben,Manhattan,40.71401,-73.98917,Shared room,40,214,1.81,188,2019-05-07
12192,Edward,Manhattan,40.7229,-73.98199,Private room,68,245,2.08,96,2019-06-21
12299,Abdul,Brooklyn,40.66278,-73.97966,Entire home/apt,120,15,0.39,345,2019-05-27
12303,Yolande,Brooklyn,40.69673,-73.97584,Private room,120,25,0.23,311,2018-09-30
12318,Cyn,Manhattan,40.79009,-73.97927,Private room,135,81,0.69,273,2019-06-16
12343,Earl,Manhattan,40.81175,-73.94478,Entire home/apt,150,97,0.84,309,2019-06-13
